rank_overall,rank_within_layer,layer,measurement,measurement_label,site,archetype,literature_status,peak_timepoint,days_from_launch,peak_abs_z,peak_z_ci_lower_abs,peak_z_ci_high,z_score_robust,methods_concordance,is_baseline_fragile,fragility_reason,concordance_class,signal_score,clinical_flagged_count,deviation_flag,deviation_direction,fold_change,recovery_classification,return_to_baseline_day,recovery_velocity
1301,733,microbial,K01879,glycyl-tRNA synthetase beta chain [EC:6.1.1.14],ORC,,novel,R+1,1,7.232716949822608,6.481269655135662,-6.481269655135662,-11.567227871577026,both-elevated,False,,concordant,7.777523586162794,0,extreme,down,0.0,incomplete,,0.0
1302,565,microbial,K04063,lipoyl-dependent peroxiredoxin [EC:1.11.1.28],NAC,,novel,R+1,1,9.323871619770742,7.77312202891527,-7.77312202891527,-6.750710231615181,both-elevated,False,,idiosyncratic,7.77312202891527,0,extreme,down,0.0855991463334664,incomplete,,0.0428568786040282
1303,566,microbial,K03801,lipoyl(octanoyl) transferase [EC:2.3.1.181],NAC,,novel,R+1,1,10.481431996516877,9.714906257369655,-9.714906257369655,-99.8886228895402,both-elevated,True,unstable-ci,ambiguous,7.771925005895726,0,extreme,down,0.0,incomplete,,0.0881690983944179
1304,567,microbial,K01934,5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2],NAC,,novel,R+1,1,11.42119011395456,9.71053034244881,-9.71053034244881,-12.564286325888762,both-elevated,False,,ambiguous,7.768424273959048,0,extreme,down,0.0,incomplete,,0.0920273639901438
1305,568,microbial,K06180,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],NAC,,novel,R+1,1,10.795410137745714,9.703306735414357,-9.703306735414357,-34.70719637454483,both-elevated,False,,ambiguous,7.762645388331484,0,extreme,down,0.0,incomplete,,0.098670742772131
1306,734,microbial,K00857,thymidine kinase [EC:2.7.1.21],ORC,,novel,R+82,82,8.926890529692376,7.754109205908902,-7.754109205908902,-9.905673474130998,both-elevated,False,,idiosyncratic,7.754109205908902,0,extreme,down,0.0,incomplete,,
1307,735,microbial,K16898,ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12],ORC,,novel,R+1,1,11.276097927776563,9.689308040659103,-9.689308040659103,-10.588517764954332,both-elevated,False,,ambiguous,7.751446432527285,0,extreme,down,0.0,incomplete,,0.0
1308,736,microbial,K01153,"type I restriction enzyme, R subunit [EC:3.1.21.3]",ORC,,novel,R+1,1,8.210232812440646,7.748806562254305,-7.748806562254305,-26.925368557757302,both-elevated,False,,idiosyncratic,7.748806562254305,0,extreme,down,0.0,incomplete,,0.0
1309,737,microbial,K03701,excinuclease ABC subunit A,ORC,,novel,R+1,1,11.22753922165017,9.68366502039957,-9.68366502039957,-11.011662965456063,both-elevated,False,,ambiguous,7.746932016319656,0,extreme,down,0.0,incomplete,,0.0
1310,569,microbial,K02316,DNA primase [EC:2.7.7.101],NAC,,novel,R+1,1,11.492692550961362,9.68326882091428,-9.68326882091428,-10.226595024139515,both-elevated,False,,ambiguous,7.746615056731425,0,extreme,down,0.0,incomplete,,0.0912161644372439
1311,570,microbial,K02228,precorrin-6A synthase [EC:2.1.1.152],NAC,,novel,R+1,1,11.520189771620226,9.6763568486582,-9.6763568486582,-8.790803182057925,both-elevated,False,,ambiguous,7.741085478926561,0,extreme,down,0.2038731341600655,incomplete,,0.0652898774131175
1312,571,microbial,K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],NAC,,novel,R+1,1,10.98211471067522,9.674461957520895,-9.674461957520895,-23.103793939033306,both-elevated,False,,ambiguous,7.7395695660167165,0,extreme,down,0.0,incomplete,,0.0626692187135394
1313,738,microbial,K18565,2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-],ORC,,novel,R+1,1,10.58135793312018,9.67372135138466,-9.67372135138466,-20.570823056950598,both-elevated,False,,ambiguous,7.738977081107729,0,extreme,down,0.0,incomplete,,0.0
1314,739,microbial,K09765,epoxyqueuosine reductase [EC:1.17.99.6],ORC,,novel,R+82,82,8.842033351380719,7.735520577156236,-7.735520577156236,-10.585297552352005,both-elevated,False,,idiosyncratic,7.735520577156236,0,extreme,down,0.0,incomplete,,
1315,740,microbial,K04564,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",ORC,,novel,R+82,82,9.226541004942744,7.733874147739853,-7.733874147739853,-6.739702877593209,both-elevated,False,,idiosyncratic,7.733874147739853,0,extreme,down,0.0,incomplete,,
1316,572,microbial,K03466,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",NAC,,novel,R+1,1,11.445604262128828,9.663365887824025,-9.663365887824025,-10.816082688452697,both-elevated,False,,ambiguous,7.730692710259219,0,extreme,down,0.0,incomplete,,0.0860676900832428
1317,573,microbial,K23842,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],NAC,,novel,R+1,1,11.454246063920072,9.661639765488983,-9.661639765488983,-8.318697336802698,both-elevated,False,,ambiguous,7.729311812391188,0,extreme,down,0.0,incomplete,,0.0851555366942748
1318,741,microbial,K24915,TMEM175 potassium channel family protein,ORC,,novel,R+82,82,8.801652448533819,7.728796885444564,-7.728796885444564,-10.961874878618358,both-elevated,False,,idiosyncratic,7.728796885444564,0,extreme,down,0.0,incomplete,,
1319,742,microbial,K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],ORC,,novel,R+82,82,8.752270529699224,7.728121914898951,-7.728121914898951,-11.568352189276112,both-elevated,False,,idiosyncratic,7.728121914898951,0,extreme,down,0.0,incomplete,,
1320,743,microbial,K00974,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-],ORC,,novel,R+45,45,9.048865561596692,7.726876803808772,-7.726876803808772,-8.370407957525426,both-elevated,False,,idiosyncratic,7.726876803808772,0,extreme,down,0.0,incomplete,,0.0
1321,574,microbial,K01953,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],NAC,,novel,R+1,1,11.285506175344848,9.651499390056909,-9.651499390056909,-13.948056070493179,both-elevated,False,,ambiguous,7.721199512045527,0,extreme,down,0.0,incomplete,,0.0798099923137822
1322,744,microbial,K02494,outer membrane lipoprotein LolB,ORC,,novel,R+82,82,8.783431758309522,7.717793104663944,-7.717793104663944,-22.595574110695114,both-elevated,False,,idiosyncratic,7.717793104663944,0,extreme,down,0.0,incomplete,,
1323,575,microbial,K00768,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],NAC,,novel,R+1,1,7.313988789847484,6.429394577276729,-6.429394577276729,-25.824872517760834,both-elevated,False,,concordant,7.715273492732075,0,extreme,down,0.0442031703229665,incomplete,,0.0391417690538519
1324,745,microbial,K15270,S-adenosylmethionine uptake transporter,ORC,,novel,R+82,82,7.688878995015592,6.428694594647117,-6.428694594647117,-9.135448725075365,both-elevated,False,,concordant,7.714433513576539,0,extreme,down,0.0,incomplete,,
1325,576,microbial,K07667,"two-component system, OmpR family, KDP operon response regulator KdpE",NAC,,novel,R+1,1,7.714666829914841,6.42514865445345,-6.42514865445345,-5.653744415079229,both-elevated,False,,concordant,7.71017838534414,0,extreme,down,0.0,incomplete,,0.0619577724927162
1326,746,microbial,K19092,toxin ParE1/3/4,ORC,,novel,R+1,1,7.725030369145208,6.4179204469127304,-6.4179204469127304,-5.453927870732419,both-elevated,False,,concordant,7.7015045362952765,0,extreme,down,0.0,incomplete,,0.0
1327,747,microbial,K00348,Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1],ORC,,novel,R+82,82,7.525422726131708,6.4169423565851345,-6.4169423565851345,-7.219406351431702,both-elevated,False,,concordant,7.700330827902161,0,extreme,down,0.0,incomplete,,
1328,748,microbial,K00761,uracil phosphoribosyltransferase [EC:2.4.2.9],ORC,,novel,R+82,82,9.240066843753333,7.69929051972783,-7.69929051972783,-7.360181043888015,both-elevated,False,,idiosyncratic,7.69929051972783,0,extreme,down,0.0,incomplete,,
1329,577,microbial,K03470,ribonuclease HII [EC:3.1.26.4],NAC,,novel,R+1,1,7.735781167462066,6.405206259227588,-6.405206259227588,-5.337997160941839,both-elevated,False,,concordant,7.686247511073104,0,extreme,down,0.0289357711086962,incomplete,,0.0441367031141108
1330,749,microbial,K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],ORC,,novel,R+82,82,8.524321101845805,7.685271539492852,-7.685271539492852,-14.272357267398704,both-elevated,False,,idiosyncratic,7.685271539492852,0,extreme,down,0.0,incomplete,,
1331,750,microbial,K02906,large subunit ribosomal protein L3,ORC,,novel,R+82,82,9.187476792073642,7.675204025954606,-7.675204025954606,-8.393422056449499,both-elevated,False,,idiosyncratic,7.675204025954606,0,extreme,down,0.0,incomplete,,
1332,578,microbial,K07082,UPF0755 protein,NAC,,novel,R+1,1,7.576661202432001,6.393085790152199,-6.393085790152199,-10.977531170068868,both-elevated,False,,concordant,7.671702948182638,0,extreme,down,0.0492760165801716,incomplete,,0.0552797489936195
1333,751,microbial,K01494,dCTP deaminase [EC:3.5.4.13],ORC,,novel,R+1,1,7.714795103962634,6.391442668589141,-6.391442668589141,-5.225335380767234,both-elevated,False,,concordant,7.669731202306969,0,extreme,down,0.0,incomplete,,0.0
1334,752,microbial,K00939,adenylate kinase [EC:2.7.4.3],ORC,,novel,R+1,1,8.522992747933138,7.667679516099763,-7.667679516099763,-13.917505783409519,both-elevated,False,,idiosyncratic,7.667679516099763,0,extreme,down,0.0,incomplete,,0.0
1335,753,microbial,K01698,porphobilinogen synthase [EC:4.2.1.24],ORC,,novel,R+82,82,9.159035981468357,7.665739047216806,-7.665739047216806,-6.552832826693062,both-elevated,False,,idiosyncratic,7.665739047216806,0,extreme,down,0.0,incomplete,,
1336,754,microbial,K07447,putative pre-16S rRNA nuclease [EC:3.1.-.-],ORC,,novel,R+1,1,7.716353724721335,6.3801950880342355,-6.3801950880342355,-5.584960858230781,both-elevated,False,,concordant,7.656234105641082,0,extreme,down,0.0,incomplete,,0.0329397558543644
1337,755,microbial,K02071,D-methionine transport system ATP-binding protein,ORC,,novel,R+82,82,9.00679428196842,7.655329335064165,-7.655329335064165,-7.928772860073129,both-elevated,False,,idiosyncratic,7.655329335064165,0,extreme,down,0.0,incomplete,,
1338,756,microbial,K02470,DNA gyrase subunit B [EC:5.6.2.2],ORC,,novel,R+1,1,9.633913887341254,9.56887649268853,-9.56887649268853,-288.71223952080265,both-elevated,True,unstable-ci,ambiguous,7.655101194150824,0,extreme,down,0.0,incomplete,,0.0
1339,757,microbial,K03118,sec-independent protein translocase protein TatC,ORC,,novel,R+82,82,10.589207921524368,9.559273391453996,-9.559273391453996,-17.522959153290717,both-elevated,False,,ambiguous,7.647418713163197,0,extreme,down,0.0,incomplete,,
1340,758,microbial,K01599,uroporphyrinogen decarboxylase [EC:4.1.1.37],ORC,,novel,R+82,82,9.178134768481549,7.645247148558727,-7.645247148558727,-6.770550139809596,both-elevated,False,,idiosyncratic,7.645247148558727,0,extreme,down,0.0,incomplete,,
1341,759,microbial,K21330,C-S lyase,ORC,,novel,R+1,1,7.0269174147007005,6.367950853613599,-6.367950853613599,-101.97328619239927,both-elevated,True,unstable-ci,concordant,7.641541024336318,0,extreme,down,0.0,incomplete,,0.0
1342,579,microbial,K18189,translational activator of cytochrome c oxidase 1,NAC,,novel,R+1,1,11.178802897742065,9.551672312529192,-9.551672312529192,-13.699910652370885,both-elevated,False,,ambiguous,7.641337850023354,0,extreme,down,0.0,incomplete,,0.0909794768420245
1343,760,microbial,K01778,diaminopimelate epimerase [EC:5.1.1.7],ORC,,novel,R+82,82,8.422490773989196,7.63440648917996,-7.63440648917996,-15.067010603496758,both-elevated,False,,idiosyncratic,7.63440648917996,0,extreme,down,0.0,incomplete,,
1344,761,microbial,K01883,cysteinyl-tRNA synthetase [EC:6.1.1.16],ORC,,novel,R+82,82,8.916946136450514,7.633586334955524,-7.633586334955524,-8.508088212394277,both-elevated,False,,idiosyncratic,7.633586334955524,0,extreme,down,0.0,incomplete,,
1345,580,microbial,K00549,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],NAC,,novel,R+1,1,11.121181877215056,9.54186689065672,-9.54186689065672,-10.296567901640774,both-elevated,False,,ambiguous,7.633493512525376,0,extreme,down,0.0,incomplete,,0.0950392825748692
1346,762,microbial,K00891,shikimate kinase [EC:2.7.1.71],ORC,,novel,R+82,82,9.039388850730228,7.633205998805998,-7.633205998805998,-7.369855941999435,both-elevated,False,,idiosyncratic,7.633205998805998,0,extreme,down,0.0,incomplete,,
1347,763,microbial,K03151,tRNA uracil 4-sulfurtransferase [EC:2.8.1.4],ORC,,novel,R+1,1,9.107289219897698,7.6327539350831985,-7.6327539350831985,-6.683230705592215,both-elevated,False,,idiosyncratic,7.6327539350831985,0,extreme,down,0.0,incomplete,,0.0
1348,764,microbial,K07568,S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17],ORC,,novel,R+1,1,7.695078083567658,6.35707877462688,-6.35707877462688,-5.9076535173415445,both-elevated,False,,concordant,7.628494529552256,0,extreme,down,0.0,incomplete,,0.0
1349,581,microbial,K15238,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 2 [EC:1.3.1.-]",NAC,,novel,R+45,45,11.079646440780392,9.53469063666119,-9.53469063666119,-10.624962367834522,both-elevated,False,,ambiguous,7.627752509328953,0,extreme,down,0.0,incomplete,,0.160827719859913
1350,582,microbial,K07156,copper resistance protein C,NAC,,novel,R+1,1,10.940445037284617,9.532588860704884,-9.532588860704884,-19.04261785466009,both-elevated,False,,ambiguous,7.626071088563908,0,extreme,down,0.0,incomplete,,0.0
1351,765,microbial,K01759,lactoylglutathione lyase [EC:4.4.1.5],ORC,,novel,R+82,82,8.804542912811854,7.6252809399092065,-7.6252809399092065,-9.504274342449483,both-elevated,False,,idiosyncratic,7.6252809399092065,0,extreme,down,0.0,incomplete,,
1352,766,microbial,K01915,glutamine synthetase [EC:6.3.1.2],ORC,,novel,R+82,82,9.154897337710032,7.62443144887423,-7.62443144887423,-6.836424353627688,both-elevated,False,,idiosyncratic,7.62443144887423,0,extreme,down,0.0,incomplete,,
1353,583,microbial,K00563,23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187],NAC,,novel,R+45,45,11.081552770226365,9.529602865054938,-9.529602865054938,-15.282364606898302,both-elevated,False,,ambiguous,7.623682292043951,0,extreme,down,0.0,incomplete,,0.1797465350185771
1354,584,microbial,K00950,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],NAC,,novel,R+1,1,11.050017395525622,9.529309666157618,-9.529309666157618,-16.02049737517382,both-elevated,False,,ambiguous,7.623447732926095,0,extreme,down,0.0,incomplete,,0.094257422928175
1355,767,microbial,K02796,mannose PTS system EIID component,ORC,,novel,R+1,1,10.18298235582042,9.529198428586644,-9.529198428586644,-28.15235901922687,both-elevated,False,,ambiguous,7.623358742869314,0,extreme,down,0.0,incomplete,,0.0
1356,768,microbial,K02495,oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3],ORC,,novel,R+82,82,9.142421705171284,7.61559071481447,-7.61559071481447,-6.638597164623573,both-elevated,False,,idiosyncratic,7.61559071481447,0,extreme,down,0.0,incomplete,,
1357,769,microbial,K00859,dephospho-CoA kinase [EC:2.7.1.24],ORC,,novel,R+1,1,7.399829746750381,6.343732581640046,-6.343732581640046,-7.515385792234675,both-elevated,False,,concordant,7.6124790979680546,0,extreme,down,0.0,incomplete,,0.0
1358,770,microbial,K03704,cold shock protein,ORC,,novel,R+82,82,8.227069109820249,7.611809055906542,-7.611809055906542,-314.74083035888737,both-elevated,True,unstable-ci,idiosyncratic,7.611809055906542,0,extreme,down,0.0,incomplete,,
1359,585,microbial,K00153,S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],NAC,,novel,R+1,1,11.32366281204451,9.512677801969916,-9.512677801969916,-7.807349439437386,both-elevated,False,,ambiguous,7.610142241575933,0,extreme,down,0.0,incomplete,,0.1044110919374152
1360,771,microbial,K06885,uncharacterized protein,ORC,,novel,R+1,1,10.970898187699332,9.509094395740613,-9.509094395740613,-17.42537085301711,both-elevated,False,,ambiguous,7.607275516592491,0,extreme,down,0.0,incomplete,,0.0
1361,772,microbial,K02837,peptide chain release factor 3,ORC,,novel,R+82,82,9.116395503529624,7.594890352282723,-7.594890352282723,-7.514795431769865,both-elevated,False,,idiosyncratic,7.594890352282723,0,extreme,down,0.0,incomplete,,
1362,586,microbial,K01915,glutamine synthetase [EC:6.3.1.2],NAC,,novel,R+1,1,7.029961142200101,6.32876120721858,-6.32876120721858,-65.66299035073676,both-elevated,True,unstable-ci,concordant,7.594513448662296,0,extreme,down,0.0784821437795064,incomplete,,0.0264847598478643
1363,587,microbial,K03216,tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207],NAC,,novel,R+1,1,10.14942924941038,9.491830385910294,-9.491830385910294,-27.770996350042218,both-elevated,False,,ambiguous,7.593464308728236,0,extreme,down,0.0,incomplete,,0.0560270512212783
1364,588,microbial,K12942,aminobenzoyl-glutamate transport protein,NAC,,novel,R+1,1,9.82521161216762,9.485398684398817,-9.485398684398817,-54.201106067652674,both-elevated,True,unstable-ci,ambiguous,7.588318947519053,0,extreme,down,0.0,incomplete,,0.0
1365,773,microbial,K07720,"two-component system, response regulator YesN",ORC,,novel,R+1,1,6.922324307102902,6.31991939623433,-6.31991939623433,-13.89730115227265,both-elevated,False,,concordant,7.583903275481196,0,extreme,down,0.0,incomplete,,0.0
1366,774,microbial,K00882,1-phosphofructokinase [EC:2.7.1.56],ORC,,novel,R+1,1,7.919752606495907,7.580722872368391,-7.580722872368391,-35.21140494838059,both-elevated,True,unstable-ci,idiosyncratic,7.580722872368391,0,extreme,down,0.0,incomplete,,0.0
1367,775,microbial,K10000,arginine transport system ATP-binding protein [EC:7.4.2.1],ORC,,novel,R+82,82,9.55193217382898,9.467625086274008,-9.467625086274008,-218.14541373037693,both-elevated,True,unstable-ci,ambiguous,7.574100069019206,0,extreme,down,0.0,incomplete,,
1368,776,microbial,K03550,holliday junction DNA helicase RuvA [EC:3.6.4.12],ORC,,novel,R+82,82,8.92626258586693,7.573281857587929,-7.573281857587929,-7.722710480598371,both-elevated,False,,idiosyncratic,7.573281857587929,0,extreme,down,0.0,incomplete,,
1369,589,microbial,K12574,ribonuclease J [EC:3.1.-.-],NAC,,novel,R+1,1,11.2096072103241,9.46509817514868,-9.46509817514868,-10.833281592667817,both-elevated,False,,ambiguous,7.572078540118944,0,extreme,down,0.0,incomplete,,0.0966828461022553
1370,777,microbial,K05823,N-acetyldiaminopimelate deacetylase [EC:3.5.1.47],ORC,,novel,R+1,1,7.589901063610098,7.571540884812012,-7.571540884812012,-647.5063316129404,both-elevated,True,unstable-ci,idiosyncratic,7.571540884812012,0,extreme,down,0.0,incomplete,,0.0
1371,778,microbial,K17319,putative aldouronate transport system permease protein,ORC,,novel,R+1,1,8.441802546776167,7.567660585637933,-7.567660585637933,-13.24945422496649,both-elevated,False,,idiosyncratic,7.567660585637933,0,extreme,down,0.0,incomplete,,0.0
1372,590,microbial,K00886,polyphosphate glucokinase [EC:2.7.1.63],NAC,,novel,R+1,1,11.18242947258187,9.456765378769935,-9.456765378769935,-8.57674270277092,both-elevated,False,,ambiguous,7.56541230301595,0,extreme,down,0.085748380931079,incomplete,,0.0107168875276783
1373,779,microbial,K02051,NitT/TauT family transport system substrate-binding protein,ORC,,novel,R+1,1,8.537754736489138,7.564880454276608,-7.564880454276608,-27.503350380500194,both-elevated,False,,idiosyncratic,7.564880454276608,0,extreme,down,0.0,incomplete,,0.0
1374,780,microbial,K00648,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],ORC,,novel,R+82,82,8.581508086919206,7.563976128424319,-7.563976128424319,-11.169414345834255,both-elevated,False,,idiosyncratic,7.563976128424319,0,extreme,down,0.0,incomplete,,
1375,591,microbial,K03303,lactate permease,NAC,,novel,R+1,1,7.252811235591216,6.302995652526935,-6.302995652526935,-19.89097604336984,both-elevated,False,,concordant,7.563594783032322,0,extreme,down,0.0,incomplete,,0.055367649979876
1376,781,microbial,K15986,manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1],ORC,,novel,R+1,1,8.252655404511854,7.560492298939622,-7.560492298939622,-16.95138513330312,both-elevated,False,,idiosyncratic,7.560492298939622,0,extreme,down,0.0,incomplete,,0.0
1377,782,microbial,K01262,Xaa-Pro aminopeptidase [EC:3.4.11.9],ORC,,novel,R+1,1,7.394724688950907,6.29831703559896,-6.29831703559896,-7.049845898358308,both-elevated,False,,concordant,7.557980442718752,0,extreme,down,0.0,incomplete,,0.0
1378,592,microbial,K15525,N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase [EC:3.5.1.103],NAC,,novel,R+1,1,11.21791861879272,9.446958418299888,-9.446958418299888,-7.982132091732677,both-elevated,False,,ambiguous,7.55756673463991,0,extreme,down,0.0,incomplete,,0.0
1379,783,microbial,K03783,purine-nucleoside phosphorylase [EC:2.4.2.1],ORC,,novel,R+1,1,10.22935369108372,9.444749127978124,-9.444749127978124,-22.896153892738486,both-elevated,False,,ambiguous,7.5557993023825,0,extreme,down,0.0,incomplete,,0.0
1380,784,microbial,K07029,diacylglycerol kinase (ATP) [EC:2.7.1.107],ORC,,novel,R+1,1,8.421060356942698,7.553437947692142,-7.553437947692142,-13.309112148251561,both-elevated,False,,idiosyncratic,7.553437947692142,0,extreme,down,0.0,incomplete,,0.0
1381,785,microbial,K01719,uroporphyrinogen-III synthase [EC:4.2.1.75],ORC,,novel,R+1,1,8.004059177486942,7.551621022335307,-7.551621022335307,-26.13852520932148,both-elevated,False,,idiosyncratic,7.551621022335307,0,extreme,down,0.0,incomplete,,0.0
1382,786,microbial,K01963,acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],ORC,,novel,R+82,82,8.342062780809632,7.551276270758016,-7.551276270758016,-14.697533953601795,both-elevated,False,,idiosyncratic,7.551276270758016,0,extreme,down,0.0,incomplete,,
1383,787,microbial,K00867,type I pantothenate kinase [EC:2.7.1.33],ORC,,novel,R+1,1,8.098362309713158,7.545830481608806,-7.545830481608806,-21.3044787081058,both-elevated,False,,idiosyncratic,7.545830481608806,0,extreme,down,0.0,incomplete,,0.0
1384,788,microbial,K16915,nickel transport protein,ORC,,novel,R+1,1,10.102165066145108,9.42897674355111,-9.42897674355111,-26.759831348651975,both-elevated,False,,ambiguous,7.543181394840888,0,extreme,down,0.0,incomplete,,0.0
1385,789,microbial,K01358,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",ORC,,novel,R+82,82,9.054716512184552,7.5390382820558095,-7.5390382820558095,-6.613269096964192,both-elevated,False,,idiosyncratic,7.5390382820558095,0,extreme,down,0.0,incomplete,,
1386,790,microbial,K03313,"Na+:H+ antiporter, NhaA family",ORC,,novel,R+1,1,7.412599767741268,6.282122909537576,-6.282122909537576,-11.998826286382009,both-elevated,False,,concordant,7.538547491445091,0,extreme,down,0.0,incomplete,,0.0231926196767987
1387,791,microbial,K01489,cytidine deaminase [EC:3.5.4.5],ORC,,novel,R+1,1,8.386281235524075,7.537070811618406,-7.537070811618406,-13.565242252092824,both-elevated,False,,idiosyncratic,7.537070811618406,0,extreme,down,0.0,incomplete,,0.0
1388,593,microbial,K04075,tRNA(Ile)-lysidine synthase [EC:6.3.4.19],NAC,,novel,R+1,1,11.174361504397467,9.4199211082452,-9.4199211082452,-8.128822756709985,both-elevated,False,,ambiguous,7.53593688659616,0,extreme,down,0.0,incomplete,,0.0552167938324836
1389,792,microbial,K07089,uncharacterized protein,ORC,,novel,R+1,1,6.614702518978828,6.277868570788266,-6.277868570788266,-24.69516204930658,both-elevated,False,,concordant,7.533442284945919,0,extreme,down,0.0,incomplete,,0.0
1390,793,microbial,K00688,glycogen phosphorylase [EC:2.4.1.1],ORC,,novel,R+82,82,8.715725009205137,7.5272702984905235,-7.5272702984905235,-9.162099124321262,both-elevated,False,,idiosyncratic,7.5272702984905235,0,extreme,down,0.0123365778881835,incomplete,,
1391,594,microbial,K10439,ribose transport system substrate-binding protein,NAC,,novel,R+45,45,11.122375941009851,9.399777269576292,-9.399777269576292,-11.052846925867946,both-elevated,False,,ambiguous,7.519821815661034,0,extreme,down,0.0,incomplete,,0.1486656816960387
1392,794,microbial,K08987,putative membrane protein,ORC,,novel,R+82,82,7.704815554109282,7.513674114835998,-7.513674114835998,-61.41763858919482,both-elevated,True,unstable-ci,idiosyncratic,7.513674114835998,0,extreme,down,0.0,incomplete,,
1393,795,microbial,K03111,single-strand DNA-binding protein,ORC,,novel,R+82,82,8.398570188357207,7.505960149858802,-7.505960149858802,-12.745010776959015,both-elevated,False,,idiosyncratic,7.505960149858802,0,extreme,down,0.0062343044376551,incomplete,,
1394,595,microbial,K02501,imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10],NAC,,novel,R+1,1,6.898202406500996,6.249718690005761,-6.249718690005761,-113.03992199397102,both-elevated,True,unstable-ci,concordant,7.499662428006912,0,extreme,down,0.0,incomplete,,0.0542065472735902
1395,796,microbial,K09794,uncharacterized protein,ORC,,novel,R+1,1,7.287361061371859,6.248996072823473,-6.248996072823473,-7.449976014747273,both-elevated,False,,concordant,7.498795287388167,0,extreme,down,0.0,incomplete,,0.0
1396,596,microbial,K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21],NAC,,novel,R+1,1,10.558858819469885,9.37223729520536,-9.37223729520536,-14.357590735891767,both-elevated,False,,ambiguous,7.497789836164289,0,extreme,down,0.049279517846612,incomplete,,0.0741345905742716
1397,597,microbial,K02919,large subunit ribosomal protein L36,NAC,,novel,R+1,1,9.684224084449951,9.371262649133865,-9.371262649133865,-57.50864949078113,both-elevated,True,unstable-ci,ambiguous,7.497010119307092,0,extreme,down,0.0,incomplete,,0.0871149835435179
1398,797,microbial,K03595,GTPase,ORC,,novel,R+82,82,8.832533461503056,7.494510133971571,-7.494510133971571,-7.675673619731335,both-elevated,False,,idiosyncratic,7.494510133971571,0,extreme,down,0.0,incomplete,,
1399,598,microbial,K01239,purine nucleosidase [EC:3.2.2.1],NAC,,novel,R+1,1,7.006607123687342,6.239779929845008,-6.239779929845008,-40.93229012131614,both-elevated,True,unstable-ci,concordant,7.487735915814008,0,extreme,down,0.0841625797755309,incomplete,,0.0261859987164187
1400,798,microbial,K02600,transcription termination/antitermination protein NusA,ORC,,novel,R+82,82,8.67738983223285,7.479048897685361,-7.479048897685361,-8.943656337924676,both-elevated,False,,idiosyncratic,7.479048897685361,0,extreme,down,0.0,incomplete,,
1401,599,microbial,K00016,L-lactate dehydrogenase [EC:1.1.1.27],NAC,,novel,R+1,1,10.77171081595197,9.34102084339708,-9.34102084339708,-17.517112962240933,both-elevated,False,,ambiguous,7.472816674717665,0,extreme,down,0.0,incomplete,,0.0777426807674528
1402,799,microbial,K25026,glucokinase [EC:2.7.1.2],ORC,,novel,R+1,1,10.972292372471289,9.3406905493657,-9.3406905493657,-9.277898046948762,both-elevated,False,,ambiguous,7.47255243949256,0,extreme,down,0.0,incomplete,,0.0
1403,600,microbial,K01637,isocitrate lyase [EC:4.1.3.1],NAC,,novel,R+1,1,10.49454744631253,9.340087036372427,-9.340087036372427,-14.718570326920778,both-elevated,False,,ambiguous,7.472069629097944,0,extreme,down,0.0,incomplete,,0.0
1404,800,microbial,K09906,elongation factor P hydroxylase [EC:1.14.-.-],ORC,,novel,R+82,82,9.742252101776764,9.328544523899364,-9.328544523899364,-43.036582143592064,both-elevated,True,unstable-ci,ambiguous,7.462835619119492,0,extreme,down,0.0,incomplete,,
