rank_overall,rank_within_layer,layer,measurement,measurement_label,site,archetype,literature_status,peak_timepoint,days_from_launch,peak_abs_z,peak_z_ci_lower_abs,peak_z_ci_high,z_score_robust,methods_concordance,is_baseline_fragile,fragility_reason,concordance_class,signal_score,clinical_flagged_count,deviation_flag,deviation_direction,fold_change,recovery_classification,return_to_baseline_day,recovery_velocity
2365,1029,microbial,K21226,acyl-CoA N-acyltransferase,NAC,,novel,R+1,1,7.691434309123318,6.359246902495504,-6.359246902495504,-6.665466574338859,both-elevated,False,,ambiguous,5.087397521996404,0,extreme,down,0.0,incomplete,,0.0499140902530548
2366,1030,microbial,K04074,cell division initiation protein,NAC,,novel,R+1,1,6.5725772403814435,6.356551893362092,-6.356551893362092,-39.38905047729238,both-elevated,True,unstable-ci,ambiguous,5.085241514689674,0,extreme,down,0.0,incomplete,,0.0
2367,1325,microbial,K05985,ribonuclease M5 [EC:3.1.26.8],ORC,,novel,R+82,82,5.381697422208631,5.0812756255088,-5.0812756255088,-18.540801162844996,both-elevated,False,,idiosyncratic,5.0812756255088,0,extreme,down,0.015266063278821,incomplete,,
2368,7,immune,il_4,IL-4,,th2_polarization,confirmed,R+194,194,5.448427518690017,5.075968001197227,37.81563153456116,14.950895979622231,both-elevated,False,,idiosyncratic,5.075968001197227,0,extreme,up,5.153917050691244,incomplete,,
2369,1326,microbial,K04755,"ferredoxin, 2Fe-2S",ORC,,novel,R+1,1,5.2279213816317105,4.228473360810071,-4.228473360810071,-3.6932908430348985,both-elevated,False,,concordant,5.074168032972085,0,extreme,down,0.0,incomplete,,0.0
2370,1031,microbial,K02810,sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211],NAC,,novel,R+1,1,7.532465795431635,6.339140003661275,-6.339140003661275,-10.465709276052847,both-elevated,False,,ambiguous,5.07131200292902,0,extreme,down,0.0,incomplete,,0.0
2371,1032,microbial,K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],NAC,,novel,R+1,1,7.079070377450319,6.333628123456333,-6.333628123456333,-47.86350235384858,both-elevated,True,unstable-ci,ambiguous,5.066902498765067,0,extreme,down,0.0,incomplete,,0.0555853308481364
2372,1327,microbial,K07488,transposase,ORC,,novel,R+82,82,7.637117030952092,6.3313891262946,-6.3313891262946,-5.246166838203332,both-elevated,False,,ambiguous,5.065111301035681,0,extreme,down,0.0,incomplete,,
2373,1328,microbial,K06218,mRNA interferase RelE/StbE,ORC,,novel,R+82,82,5.861898240673006,5.062441546841137,-5.062441546841137,-6.76329832058474,both-elevated,False,,idiosyncratic,5.062441546841137,0,extreme,down,0.0,incomplete,,
2374,1329,microbial,K09157,uncharacterized protein,ORC,,novel,R+82,82,6.014140472698574,5.061125973015464,-5.061125973015464,-5.463083917285165,both-elevated,False,,idiosyncratic,5.061125973015464,0,extreme,down,0.0,incomplete,,
2375,1330,microbial,K03089,RNA polymerase sigma-32 factor,ORC,,novel,R+1,1,7.6581101606917485,6.325068926943982,-6.325068926943982,-5.868001747261053,both-elevated,False,,ambiguous,5.0600551415551855,0,extreme,down,0.0,incomplete,,0.0
2376,1331,microbial,K14170,chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51],ORC,,novel,R+1,1,7.605017118507116,6.32076276888247,-6.32076276888247,-8.018041037092242,both-elevated,False,,ambiguous,5.056610215105977,0,extreme,down,0.0,incomplete,,0.0
2377,1033,microbial,K03631,DNA repair protein RecN (Recombination protein N),NAC,,novel,R+1,1,7.617848476792415,6.3200162292548345,-6.3200162292548345,-5.309174239244465,both-elevated,False,,ambiguous,5.056012983403868,0,extreme,down,0.0959057628953779,incomplete,,0.0167831749814263
2378,1332,microbial,K03187,urease accessory protein,ORC,,novel,R+1,1,6.188798932338445,5.055751226411933,-5.055751226411933,-4.506428693345453,both-elevated,False,,idiosyncratic,5.055751226411933,0,extreme,down,0.0,incomplete,,0.0
2379,1333,microbial,K01159,crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10],ORC,,novel,R+82,82,7.6100463482525535,6.318841270145765,-6.318841270145765,-5.3795706644409815,both-elevated,False,,ambiguous,5.055073016116612,0,extreme,down,0.0,incomplete,,
2380,1334,microbial,K03558,membrane protein required for colicin V production,ORC,,novel,R+82,82,7.632940718966057,6.318340555280946,-6.318340555280946,-7.100379463239113,both-elevated,False,,ambiguous,5.054672444224757,0,extreme,down,0.0,incomplete,,
2381,1034,microbial,K00003,homoserine dehydrogenase [EC:1.1.1.3],NAC,,novel,R+1,1,7.166527707635816,6.317541743157966,-6.317541743157966,-28.51088048601652,both-elevated,False,,ambiguous,5.054033394526373,0,extreme,down,0.0,incomplete,,0.0587104458237211
2382,1335,microbial,K00058,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],ORC,,novel,R+1,1,7.64820525749604,6.317139239828686,-6.317139239828686,-6.2855209187431464,both-elevated,False,,ambiguous,5.053711391862949,0,extreme,down,0.0,incomplete,,0.0
2383,1336,microbial,K13643,"Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor",ORC,,novel,R+82,82,7.046413248937099,6.312760977714926,-6.312760977714926,-51.30472652363043,both-elevated,True,unstable-ci,ambiguous,5.050208782171941,0,extreme,down,0.0,incomplete,,
2384,1035,microbial,K02291,15-cis-phytoene synthase [EC:2.5.1.32],NAC,,novel,R+1,1,6.947631911148785,6.308534282958738,-6.308534282958738,-132.95980188583877,both-elevated,True,unstable-ci,ambiguous,5.046827426366991,0,extreme,down,0.0,incomplete,,0.0710113736952983
2385,1337,microbial,K07485,transposase,ORC,,novel,R+1,1,5.0263884040197295,4.203490844449039,-4.203490844449039,-13.179668408610665,both-elevated,False,,concordant,5.044189013338847,0,extreme,down,0.0127940448320366,incomplete,,0.0020085704731095
2386,1338,microbial,K09131,uncharacterized protein,ORC,,novel,R+1,1,7.178052399872644,6.30510364101022,-6.30510364101022,-9.313673693988495,both-elevated,False,,ambiguous,5.044082912808176,0,extreme,down,0.0,incomplete,,0.0
2387,1036,microbial,K17883,mycothione reductase [EC:1.8.1.15],NAC,,novel,R+1,1,7.295334097301001,6.304176203126269,-6.304176203126269,-17.574507078655984,both-elevated,False,,ambiguous,5.0433409625010155,0,extreme,down,0.1191140617734116,incomplete,,0.0399615321746486
2388,1339,microbial,K06205,MioC protein,ORC,,novel,R+1,1,7.298857886612959,6.3041116696013875,-6.3041116696013875,-7.9967576984699384,both-elevated,False,,ambiguous,5.04328933568111,0,extreme,down,0.0,incomplete,,0.0
2389,1037,microbial,K05878,phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121],NAC,,novel,R+1,1,7.340125005604912,6.29760906187571,-6.29760906187571,-15.188079226448515,both-elevated,False,,ambiguous,5.038087249500569,0,extreme,down,0.0,incomplete,,0.0543245877919823
2390,1038,microbial,K01792,glucose-6-phosphate 1-epimerase [EC:5.1.3.15],NAC,,novel,R+1,1,4.874117742223342,4.195102918091945,-4.195102918091945,-35.19567832093088,both-elevated,True,unstable-ci,concordant,5.034123501710334,0,extreme,down,0.0,incomplete,,0.0329998993753814
2391,1039,microbial,K09790,uncharacterized protein,NAC,,novel,R+1,1,7.561916041125365,6.29016599072167,-6.29016599072167,-8.207125164567206,both-elevated,False,,ambiguous,5.032132792577336,0,extreme,down,0.0,incomplete,,0.0
2392,1040,microbial,K03587,cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4],NAC,,novel,R+1,1,7.2773331848940686,6.287745589587331,-6.287745589587331,-17.551992354562802,both-elevated,False,,ambiguous,5.030196471669865,0,extreme,down,0.0,incomplete,,0.0565235156052086
2393,1340,microbial,K03484,"LacI family transcriptional regulator, sucrose operon repressor",ORC,,novel,R+1,1,6.982962410190328,6.284913972045402,-6.284913972045402,-11.795250795696182,both-elevated,False,,ambiguous,5.027931177636322,0,extreme,down,0.0,incomplete,,0.0
2394,1041,microbial,K03215,23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190],NAC,,novel,R+1,1,7.026001239478773,6.281069745886133,-6.281069745886133,-10.996425681176335,both-elevated,False,,ambiguous,5.0248557967089065,0,extreme,down,0.0,incomplete,,0.0673222489416097
2395,1341,microbial,K03528,cell division protein ZipA,ORC,,novel,R+45,45,7.589779614377296,6.276646948513976,-6.276646948513976,-5.290803605477589,both-elevated,False,,ambiguous,5.021317558811181,0,extreme,down,0.0,incomplete,,0.0
2396,1342,microbial,K07733,prophage regulatory protein,ORC,,novel,R+82,82,7.265987408581784,6.274145576540114,-6.274145576540114,-7.949838831166562,both-elevated,False,,ambiguous,5.0193164612320915,0,extreme,down,0.0,incomplete,,
2397,1343,microbial,K22278,peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104],ORC,,novel,R+1,1,5.402607902970835,5.017358861655971,-5.017358861655971,-14.146644815710331,both-elevated,False,,idiosyncratic,5.017358861655971,0,extreme,down,0.0,incomplete,,0.0
2398,1042,microbial,K07503,endonuclease [EC:3.1.-.-],NAC,,novel,R+1,1,6.909691103377165,6.270613901044162,-6.270613901044162,-131.43350597487787,both-elevated,True,unstable-ci,ambiguous,5.0164911208353296,0,extreme,down,0.0,incomplete,,0.0640855032744333
2399,1344,microbial,K02168,choline/glycine/proline betaine transport protein,ORC,,novel,R+1,1,7.242842286444066,6.270051063024352,-6.270051063024352,-8.127563855222295,both-elevated,False,,ambiguous,5.016040850419482,0,extreme,down,0.0,incomplete,,0.0
2400,1345,microbial,K09900,N4-acetylcytidine amidohydrolase [EC:3.5.1.135],ORC,,novel,R+1,1,6.460299954512496,6.268766049613071,-6.268766049613071,-43.23495988306736,both-elevated,True,unstable-ci,ambiguous,5.015012839690457,0,extreme,down,0.0,incomplete,,0.0
2401,1346,microbial,K02570,periplasmic nitrate reductase NapD,ORC,,novel,R+1,1,6.501292361828152,6.268210879559343,-6.268210879559343,-35.550749452733015,both-elevated,True,unstable-ci,ambiguous,5.014568703647475,0,extreme,down,0.0,incomplete,,0.0
2402,1347,microbial,K00244,fumarate reductase flavoprotein subunit [EC:1.3.5.4],ORC,,novel,R+1,1,6.347785656637093,6.266175091773008,-6.266175091773008,-101.0606438271116,both-elevated,True,unstable-ci,ambiguous,5.012940073418407,0,extreme,down,0.0,incomplete,,0.0
2403,1043,microbial,K01725,cyanate lyase [EC:4.2.1.104],NAC,,novel,R+1,1,7.43126983923945,6.26539515650002,-6.26539515650002,-10.882063875981594,both-elevated,False,,ambiguous,5.012316125200016,0,extreme,down,0.0,incomplete,,0.0
2404,1348,microbial,K21661,KSHV inhibitor of apoptosis protein,ORC,,novel,R+1,1,7.015809164605003,6.262762960642252,-6.262762960642252,-44.660398575208035,both-elevated,True,unstable-ci,ambiguous,5.010210368513802,0,extreme,down,0.0,slow,45.0,0.0
2405,1349,microbial,K02682,prepilin peptidase dependent protein D,ORC,,novel,R+1,1,6.462531061760847,6.260563949638071,-6.260563949638071,-40.90785782424807,both-elevated,True,unstable-ci,ambiguous,5.008451159710457,0,extreme,down,0.0,incomplete,,0.0
2406,1350,microbial,K01734,methylglyoxal synthase [EC:4.2.3.3],ORC,,novel,R+1,1,7.558229251281265,6.260380293488354,-6.260380293488354,-7.321177678016738,both-elevated,False,,ambiguous,5.008304234790684,0,extreme,down,0.0,incomplete,,0.0
2407,1351,microbial,K02523,octaprenyl-diphosphate synthase [EC:2.5.1.90],ORC,,novel,R+82,82,7.502484759385229,6.25908094051231,-6.25908094051231,-8.800705535126426,both-elevated,False,,ambiguous,5.007264752409848,0,extreme,down,0.0,incomplete,,
2408,1352,microbial,K08304,membrane-bound lytic murein transglycosylase A [EC:4.2.2.-],ORC,,novel,R+82,82,7.352167676567546,6.247200888920863,-6.247200888920863,-12.63601396077318,both-elevated,False,,ambiguous,4.99776071113669,0,extreme,down,0.0,incomplete,,
2409,1353,microbial,K21896,"3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase [EC:2.1.1.99]",ORC,,novel,R+45,45,6.7838863711235025,6.241657361554993,-6.241657361554993,-15.119261188699026,both-elevated,False,,ambiguous,4.9933258892439945,0,extreme,down,0.0,incomplete,,0.0
2410,1354,microbial,K02961,small subunit ribosomal protein S17,ORC,,novel,R+82,82,6.117996000455328,4.990082651152029,-4.990082651152029,-4.6195710750510095,both-elevated,False,,idiosyncratic,4.990082651152029,0,extreme,down,0.0163276021068722,incomplete,,
2411,1355,microbial,K08972,putative membrane protein,ORC,,novel,R+1,1,7.406660230624404,6.234583194389383,-6.234583194389383,-6.264331072137067,both-elevated,False,,ambiguous,4.987666555511506,0,extreme,down,0.0,incomplete,,0.0
2412,1044,microbial,K20765,6-oxocamphor hydrolase [EC:3.7.1.18],NAC,,novel,R+1,1,7.075783497598724,6.2328194221836055,-6.2328194221836055,-28.40580886593335,both-elevated,False,,ambiguous,4.986255537746885,0,extreme,down,0.0,incomplete,,0.0544984202270995
2413,1356,microbial,K06975,uncharacterized protein,ORC,,novel,R+82,82,4.676979760424125,4.155044520625904,-4.155044520625904,-7.383722616645157,both-elevated,False,,concordant,4.986053424751085,0,extreme,down,0.0,incomplete,,
